"","Art.Col","Zymo.Ext","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE"
"Actinomycetales",0.06,NA,0,1.32929935289707e-06,0,1.71543162260962e-06,0,3.48296944042613e-06,1.5046380467792e-05,0,1.88529133406985e-06,0
"Bacteroidales",0.16,NA,0.214188231588893,0.000416070697456784,0.21419559446326,0.0026932276474971,0.234814260979065,0.00116795575235623,0.140267374180913,0.000387177101938637,0.223571043433342,0.000833247499597242
"Bifidobacteriales",0.06,NA,0.0166679789337393,7.97579611738245e-06,0.0122163109496815,7.43353703130834e-06,0.00540492680623328,5.80494906737688e-06,0.0224880694741541,0,0.0146128931303754,5.28207606717744e-06
"Burkholderiales",0.06,NA,0.0385478452574668,1.59515922347649e-05,0.0334129237976924,2.00133689304455e-05,0.0931489060286479,1.39318777617045e-05,0.0634994871691991,1.42644195451077e-05,0.0951110625124901,9.24363311756053e-06
"Campylobacterales",NA,NA,0,1.32929935289707e-06,0,0,0,2.32197962695075e-06,0,1.01888711036483e-06,0,0
"Clostridiales",0.14,NA,0.116056899900268,0.000860056681324408,0.156800032726106,0.00913410157985534,0.109070517865575,0.00181578806827549,0.232499178718399,0.00217124843218746,0.146490907239896,0.00301606543435832
"Coriobacteriales",0.06,NA,0.00042648679859325,3.98789805869123e-06,0.00105175676752192,6.23273489548161e-05,0.00106642531087675,1.62538573886553e-05,0.0187076663816213,2.13966293176615e-05,0.00327286575594527,2.37693423022985e-05
"Deinococcales",NA,NA,2.18711178765769e-06,0,1.07651665048303e-06,5.71810540869873e-07,0,0,0,1.01888711036483e-06,0,0
"Desulfovibrionales",0.02,NA,0.0217005231571396,1.32929935289707e-05,0.0264112595029507,3.31650113704526e-05,0.0366224618290571,2.20588064560322e-05,0.035009165753435,9.1699839932835e-06,0.0323120081746232,2.37693423022985e-05
"Erysipelotrichales",0.04,NA,0.0404768778541809,9.30509547027953e-06,0.0338026228251672,0.000106928571142666,0.0307020305367543,2.90247453368844e-05,0.0164745327471932,2.75099519798505e-05,0.0317615031050748,3.03719373862703e-05
"Fusobacteriales",0.12,NA,0.301121550924711,8.9063056644104e-05,0.252994331063319,0.000137234529808769,0.262757752243035,7.0820378621998e-05,0.164298951518054,6.92843235048086e-05,0.200621392023709,4.22566085374195e-05
"Neisseriales",NA,NA,0,1.32929935289707e-06,1.07651665048303e-06,5.71810540869873e-07,0,2.32197962695075e-06,0,0,0,0
"Pseudomonadales",NA,0.046,2.843245323955e-05,0.0361157341188606,0.00117770921562844,0.0464990613729972,9.24759955926334e-05,0.142798264088031,0.000939144914198015,0.0643172488417801,8.67234013672133e-05,0.0795269372674236
"Rhodobacterales",NA,NA,0,1.32929935289707e-06,0,4.00267378608911e-06,1.96757437431135e-06,3.48296944042613e-06,0,2.03777422072967e-06,3.77058266813971e-06,0
"Saccharomycetales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Synergistales",0.02,NA,0.0126939968155652,2.65859870579415e-06,0.00787687233158435,1.14362108173975e-06,0.00707539745002361,2.32197962695075e-06,0.0107807316051729,4.07554844145933e-06,0.0050092190746236,5.28207606717744e-06
"Tremellales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verrucomicrobiales",NA,NA,0.000225272514128742,0.000106343948231766,0.003394256998973,0.000542648203285509,0.00014560050369904,0.000404024455089431,0.00749560520303837,0.000174229695872386,0.00774100621769082,0.000378988957819982
"Gossypium arboreum",NA,NA,0,3.98789805869123e-06,7.64326821842953e-05,2.45878532574045e-05,0,0,2.50773007796533e-06,1.01888711036483e-06,1.88529133406985e-06,0
"Selenomonadales",NA,NA,5.46777946914423e-05,1.7280891587662e-05,0.000749255588736191,0.000121795645205283,1.96757437431135e-05,4.64395925390151e-05,0.000991807245835287,2.54721777591208e-05,0.000463781668181184,5.01797226381857e-05
"Rickettsiales",NA,NA,0,0,1.18416831553134e-05,2.85905270434936e-06,0,0,0,0,0,0
